"st_fips","state","estimate","moe","year","sex","age"
1,"Alabama",59482,2890,2012,"M","67-69"
1,"Alabama",75961,2873,2012,"M","70-74"
1,"Alabama",54229,2222,2012,"M","75-79"
1,"Alabama",35269,2202,2012,"M","80-84"
1,"Alabama",25048,1982,2012,"M","85+"
1,"Alabama",146906,2654,2012,"F","00-04"
1,"Alabama",154067,5363,2012,"F","05-09"
1,"Alabama",157592,5251,2012,"F","10-14"
1,"Alabama",91339,1866,2012,"F","15-17"
1,"Alabama",69110,2657,2012,"F","18-19"
1,"Alabama",37248,3450,2012,"F","20"
1,"Alabama",39243,2827,2012,"F","21"
1,"Alabama",94925,3913,2012,"F","22-24"
1,"Alabama",157065,2520,2012,"F","25-29"
1,"Alabama",157911,2653,2012,"F","30-34"
1,"Alabama",150673,4854,2012,"F","35-39"
1,"Alabama",163767,4268,2012,"F","40-44"
1,"Alabama",166704,2002,2012,"F","45-49"
1,"Alabama",177657,1575,2012,"F","50-54"
1,"Alabama",168578,3945,2012,"F","55-59"
1,"Alabama",63298,2690,2012,"F","60-61"
1,"Alabama",89309,3152,2012,"F","62-64"
1,"Alabama",54512,2675,2012,"F","65-66"
1,"Alabama",68072,3124,2012,"F","67-69"
1,"Alabama",96418,3556,2012,"F","70-74"
1,"Alabama",72305,2691,2012,"F","75-79"
1,"Alabama",53866,2454,2012,"F","80-84"
1,"Alabama",55167,2531,2012,"F","85+"
1,"Alabama",4822023,NA,2012,NA,"total"
1,"Alabama",147308,2684,2013,"M","00-04"
1,"Alabama",155812,5034,2013,"M","05-09"
1,"Alabama",168051,5460,2013,"M","10-14"
1,"Alabama",93601,2155,2013,"M","15-17"
1,"Alabama",71410,3448,2013,"M","18-19"
1,"Alabama",39337,3699,2013,"M","20"
1,"Alabama",39833,3683,2013,"M","21"
1,"Alabama",101406,5291,2013,"M","22-24"
1,"Alabama",150334,3843,2013,"M","25-29"
1,"Alabama",153521,3571,2013,"M","30-34"
1,"Alabama",141314,5102,2013,"M","35-39"
1,"Alabama",150760,4455,2013,"M","40-44"
1,"Alabama",156923,2759,2013,"M","45-49"
1,"Alabama",165347,2120,2013,"M","50-54"
